iter	Logloss
0	0.6926117957
1	0.6921142271
2	0.6916323122
3	0.6911375083
4	0.6907663561
5	0.6902634133
6	0.6899103373
7	0.689639321
8	0.6892774604
9	0.6889909027
10	0.6888097923
11	0.6885320891
12	0.6883230683
13	0.6881286524
14	0.6878711981
15	0.687589099
16	0.6873598478
17	0.6871136999
18	0.6868973682
19	0.6867169486
20	0.6865344922
21	0.6863824638
22	0.6861992023
23	0.6859909765
24	0.6857396475
25	0.6855963504
26	0.6854151362
27	0.6852526296
28	0.6851237397
29	0.6849749368
30	0.6848329541
31	0.6846789608
32	0.684500477
33	0.6844165087
34	0.6842926613
35	0.6841742661
36	0.6840046775
37	0.6838475559
38	0.6837624045
39	0.6836302439
40	0.683502864
41	0.683346672
42	0.6832135364
43	0.6830589885
44	0.6829468706
45	0.6828160022
46	0.682683339
47	0.6825204244
48	0.6824012834
49	0.6822443696
50	0.6821311062
51	0.6820391307
52	0.6819392515
53	0.6818258752
54	0.6817598942
55	0.6816381088
56	0.6815304303
57	0.6814015033
58	0.6813090511
59	0.6812141208
60	0.6810944645
61	0.6809843766
62	0.6808747843
63	0.6807323893
64	0.6806186686
65	0.6805379629
66	0.680430405
67	0.6802998232
68	0.6802338764
69	0.6801366518
70	0.6800210091
71	0.6799359913
72	0.6798431557
73	0.679760638
74	0.679701587
75	0.6796339995
76	0.6795697425
77	0.6794769776
78	0.6793393158
79	0.6792446362
80	0.6791611382
81	0.6790602969
82	0.6789405331
83	0.6788694217
84	0.6787915976
85	0.6787196007
86	0.6786394101
87	0.6785769465
88	0.6784676745
89	0.6783796474
90	0.6782968783
91	0.6782223724
92	0.678136774
93	0.6780514821
94	0.6778707929
95	0.6777910598
96	0.6777059651
97	0.6776402021
98	0.6776011458
99	0.6775261927
100	0.6774586291
101	0.677380114
102	0.6772978184
103	0.6771977917
104	0.6770827637
105	0.6769805286
106	0.6768705756
107	0.6767795467
108	0.6767009196
109	0.6765696604
110	0.6764951329
111	0.6763859288
112	0.6762835606
113	0.6761519708
114	0.6760094962
115	0.6758939397
116	0.6757969626
117	0.6756879136
118	0.6755823425
119	0.6754551293
120	0.6752990222
121	0.6750883862
122	0.6749618711
123	0.6748725586
124	0.6747424932
125	0.6746235593
126	0.6745024746
127	0.6743813426
128	0.6742183237
129	0.6740884761
130	0.6739728599
131	0.6738852309
132	0.6737926787
133	0.6736562133
134	0.673530219
135	0.6734146569
136	0.6732788675
137	0.6731846524
138	0.6730561039
139	0.6729759275
140	0.6728598457
141	0.6727338403
142	0.6726306514
143	0.6724998126
144	0.6723854244
145	0.6722939995
146	0.6721712446
147	0.6720675728
148	0.6719159994
149	0.6718314668
150	0.6716775688
151	0.6715416215
152	0.6714333362
153	0.6713129576
154	0.6711506314
155	0.6710369278
156	0.6709367252
157	0.6707941237
158	0.6706646609
159	0.6705527402
160	0.6704270615
161	0.6703128101
162	0.6701938252
163	0.6700342312
164	0.6699441376
165	0.6698084568
166	0.669725858
167	0.6696139131
168	0.6695107307
169	0.6693982291
170	0.6692447109
171	0.6691374377
172	0.6690325836
173	0.6688922037
174	0.6687767328
175	0.668665473
176	0.6685269617
177	0.6683520077
178	0.6682418604
179	0.668126182
180	0.6680205608
181	0.6679011564
182	0.6678047389
183	0.6676810899
184	0.6675464862
185	0.6674605275
186	0.6673512392
187	0.667232028
188	0.6670687246
189	0.6669434835
190	0.666845979
191	0.6666445633
192	0.6665399938
193	0.666416808
194	0.6662892091
195	0.666182135
196	0.6660703331
197	0.6659417582
198	0.6658569824
199	0.6657471709
200	0.6656039581
201	0.6654670118
202	0.6653681791
203	0.6652735738
204	0.6651387718
205	0.665067244
206	0.6649534457
207	0.6648552528
208	0.6647523385
209	0.6646186782
210	0.6645062671
211	0.6643768507
212	0.6642689366
213	0.6641573012
214	0.6640640061
215	0.6639049691
216	0.6637884924
217	0.6636790183
218	0.6635910301
219	0.663486017
220	0.6633724586
221	0.6632065818
222	0.6631181277
223	0.6629998238
224	0.6629046225
225	0.6626977339
226	0.6625819637
227	0.6624903002
228	0.6623863054
229	0.6622661173
230	0.6621992325
231	0.6620818118
232	0.6619738225
233	0.6618404747
234	0.661729689
235	0.6616453344
236	0.6615272061
237	0.6614138661
238	0.6613244398
239	0.6612290319
240	0.6611104826
241	0.6610086459
242	0.6608927402
243	0.6607940352
244	0.6606853978
245	0.6605981307
246	0.6604997955
247	0.6603756242
248	0.6601663682
249	0.6600590739
250	0.659951687
251	0.6598483953
252	0.6597294392
253	0.6596289712
254	0.6595457116
255	0.6594048396
256	0.6592865347
257	0.6591908945
258	0.65906496
259	0.6590060911
260	0.6588828954
261	0.6587751054
262	0.658653254
263	0.6585687886
264	0.6584462042
265	0.658352201
266	0.6582637789
267	0.6581684564
268	0.6580819084
269	0.6579666489
270	0.657861651
271	0.6577795982
272	0.6576438607
273	0.6575408762
274	0.6574311058
275	0.657339974
276	0.6572491359
277	0.6571404314
278	0.6570338824
279	0.6568860667
280	0.6567328502
281	0.6566015842
282	0.6564914975
283	0.6563926259
284	0.6562740949
285	0.6561181092
286	0.656015988
287	0.6558809607
288	0.6557883229
289	0.6556623463
290	0.6555462535
291	0.655464206
292	0.6553372738
293	0.6552236931
294	0.6551446392
295	0.6550381289
296	0.6549222919
297	0.6548095688
298	0.6546946263
299	0.6545969206
300	0.6544662466
301	0.6544173162
302	0.6543039599
303	0.6541743604
304	0.6540743615
305	0.6539915754
306	0.6539001733
307	0.6538140461
308	0.6536935973
309	0.653579385
310	0.653464909
311	0.6533698719
312	0.6532744714
313	0.653182416
314	0.6530855453
315	0.652999183
316	0.6529230782
317	0.6527730549
318	0.6526102382
319	0.6524940612
320	0.6523765217
321	0.6522772722
322	0.6521746124
323	0.6520540658
324	0.6519603222
325	0.6518911832
326	0.6518035401
327	0.6516919499
328	0.6515820936
329	0.6514605467
330	0.6513738607
331	0.6512791737
332	0.651178011
333	0.6510702107
334	0.650975664
335	0.6508550793
336	0.6507305598
337	0.6506352465
338	0.6505177152
339	0.6504261123
340	0.6503129386
341	0.6502101087
342	0.6501243604
343	0.6500231132
344	0.6499347329
345	0.6498660003
346	0.6497629028
347	0.6496443605
348	0.6495354896
